Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct,Abs_Variance
2025-12-31,Prime,NetImpairment,-551.4768704927753,-77558.99,-77007.51312950724,13963.869973494397,77007.51312950724
2025-12-31,Prime,Revenue,27583.58773802927,24366.88,-3216.7077380292685,-11.661672762004127,3216.7077380292685
2025-12-31,Total,ClosingGBV,251287914.95352745,244931165.85999998,-6356749.093527466,-2.529667650234224,6356749.093527466
2025-12-31,Total,ClosingNBV,217160515.28232723,222507517.67,5347002.387672752,2.462235080222208,5347002.387672752
2025-12-31,Total,Collections,15480945.511405122,13180721.129999999,-2300224.3814051226,-14.858423083464134,2300224.3814051226
2025-12-31,Total,DebtSaleGain,0.0,111090.31,111090.31,,111090.31
2025-12-31,Total,GrossImpairment,-3159895.942274313,-2456587.82,703308.1222743131,-22.25731907387153,703308.1222743131
2025-12-31,Total,NetImpairment,-3159895.942274313,-2345497.4499999997,814398.4922743132,-25.772952880472243,814398.4922743132
2025-12-31,Total,Revenue,5841095.129271127,4071179.52,-1769915.6092711273,-30.301092005874995,1769915.6092711273
2026-01-31,Near Prime Medium,ClosingGBV,104541424.56072311,99585126.25,-4956298.310723111,-4.740989833981302,4956298.310723111
2026-01-31,Near Prime Medium,ClosingNBV,92843928.14899915,93112800.32,268872.1710008383,0.28959585872900817,268872.1710008383
2026-01-31,Near Prime Medium,Collections,4131703.1829122147,3919002.92,-212700.26291221473,-5.1480044305189825,212700.26291221473
2026-01-31,Near Prime Medium,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-01-31,Near Prime Medium,GrossImpairment,-1062926.4896153847,-534424.03,528502.4596153847,-49.72144967490847,528502.4596153847
2026-01-31,Near Prime Medium,NetImpairment,-1062926.4896153847,-534424.03,528502.4596153847,-49.72144967490847,528502.4596153847
2026-01-31,Near Prime Medium,Revenue,1652933.0787914488,1278201.83,-374731.2487914488,-22.670684832893272,374731.2487914488
2026-01-31,Near Prime Small,ClosingGBV,37030256.999029145,35632552.75,-1397704.2490291446,-3.77449243483724,1397704.2490291446
2026-01-31,Near Prime Small,ClosingNBV,32167203.230153468,33263031.41,1095828.1798465326,3.406662904468183,1095828.1798465326
2026-01-31,Near Prime Small,Collections,2485493.124759659,2251873.94,-233619.18475965923,-9.399309232941434,233619.18475965923
2026-01-31,Near Prime Small,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-01-31,Near Prime Small,GrossImpairment,-335415.53019349754,-92144.77,243270.76019349752,-72.52817424797155,243270.76019349752
2026-01-31,Near Prime Small,NetImpairment,-335415.53019349754,-92144.77,243270.76019349752,-72.52817424797155,243270.76019349752
2026-01-31,Near Prime Small,Revenue,682945.680840938,549312.09,-133633.59084093804,-19.567235666003434,133633.59084093804
2026-01-31,Non Prime,ClosingGBV,99414297.28841718,98690698.95,-723598.3384171724,-0.7278614426231789,723598.3384171724
2026-01-31,Non Prime,ClosingNBV,80956063.14712112,83348653.99,2392590.842878878,2.9554189641495254,2392590.842878878
2026-01-31,Non Prime,Collections,7839295.719058653,6588516.1899999995,-1250779.5290586539,-15.955253812122393,1250779.5290586539
2026-01-31,Non Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-01-31,Non Prime,GrossImpairment,-2202442.9810385304,-1543161.07,659281.9110385303,-29.934119371737623,659281.9110385303
2026-01-31,Non Prime,NetImpairment,-2202442.9810385304,-1543161.07,659281.9110385303,-29.934119371737623,659281.9110385303
2026-01-31,Non Prime,Revenue,3178262.5780523345,2364974.81,-813287.7680523344,-25.589067865837688,813287.7680523344
2026-01-31,Prime,ClosingGBV,2913688.4010498975,2134083.32,-779605.0810498977,-26.756638793941747,779605.0810498977
2026-01-31,Prime,ClosingNBV,2241828.264505515,1774343.52,-467484.74450551486,-20.85283480037794,467484.74450551486
2026-01-31,Prime,Collections,207280.88171066728,319609.09,112328.20828933275,54.191301852008664,112328.20828933275
2026-01-31,Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-01-31,Prime,GrossImpairment,-489.6386490896847,40160.84,40650.47864908968,-8302.138469801213,40650.47864908968
2026-01-31,Prime,NetImpairment,-489.6386490896847,40160.84,40650.47864908968,-8302.138469801213,40650.47864908968
2026-01-31,Prime,Revenue,25924.530376671275,22278.71,-3645.820376671276,-14.063207023229406,3645.820376671276
2026-01-31,Total,ClosingGBV,243899667.24921936,236042461.27,-7857205.979219347,-3.221491061400572,7857205.979219347
2026-01-31,Total,ClosingNBV,208209022.79077923,211498829.23999998,3289806.4492207468,1.5800498965534926,3289806.4492207468
2026-01-31,Total,Collections,14663772.908441193,13079002.139999999,-1584770.7684411947,-10.807387555278646,1584770.7684411947
2026-01-31,Total,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-01-31,Total,GrossImpairment,-3601274.639496502,-2129569.0300000003,1471705.6094965017,-40.86624200653195,1471705.6094965017
2026-01-31,Total,NetImpairment,-3601274.639496502,-2129569.0300000003,1471705.6094965017,-40.86624200653195,1471705.6094965017
2026-01-31,Total,Revenue,5540065.868061392,4214767.44,-1325298.4280613912,-23.92206987468809,1325298.4280613912
2026-02-28,Near Prime Medium,ClosingGBV,102156203.19149563,96055969.41999999,-6100233.77149564,-5.971476602414949,6100233.77149564
2026-02-28,Near Prime Medium,ClosingNBV,90903857.17097346,88922591.02,-1981266.150973469,-2.1795182433756,1981266.150973469
2026-02-28,Near Prime Medium,Collections,3880683.254208105,5180269.74,1299586.485791895,33.48859983310051,1299586.485791895
2026-02-28,Near Prime Medium,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-02-28,Near Prime Medium,GrossImpairment,-936194.7289666305,-661955.58,274239.1489666306,-29.292960158976232,274239.1489666306
2026-02-28,Near Prime Medium,NetImpairment,-936194.7289666305,-661955.58,274239.1489666306,-29.292960158976232,274239.1489666306
2026-02-28,Near Prime Medium,Revenue,1402216.900060412,1652015.98,249799.07993958797,17.814582032838565,249799.07993958797
2026-02-28,Near Prime Small,ClosingGBV,35366772.32232688,33623577.49,-1743194.8323268816,-4.928905630515823,1743194.8323268816
2026-02-28,Near Prime Small,ClosingNBV,30781575.077739533,31203084.22,421509.1422604658,1.3693553406410652,421509.1422604658
2026-02-28,Near Prime Small,Collections,2290865.8415494575,2689787.18,398921.33845054265,17.413561772815413,398921.33845054265
2026-02-28,Near Prime Small,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-02-28,Near Prime Small,GrossImpairment,-281718.7530588205,-51975.09999999999,229743.65305882052,-81.55071345600197,229743.65305882052
2026-02-28,Near Prime Small,NetImpairment,-281718.7530588205,-51975.1,229743.6530588205,-81.55071345600197,229743.6530588205
2026-02-28,Near Prime Small,Revenue,571853.6917412939,681815.12,109961.42825870612,19.228944369297274,109961.42825870612
2026-02-28,Non Prime,ClosingGBV,94838827.54621516,92101595.5,-2737232.0462151617,-2.8861934684729196,2737232.0462151617
2026-02-28,Non Prime,ClosingNBV,76995011.40856633,76802329.72,-192681.6885663271,-0.2502521722399398,192681.6885663271
2026-02-28,Non Prime,Collections,7445507.400907075,9457714.83,2012207.429092925,27.02579314940685,2012207.429092925
2026-02-28,Non Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-02-28,Non Prime,GrossImpairment,-1713008.995458935,36096.68999999996,1749105.6854589349,-102.10720959993145,1749105.6854589349
2026-02-28,Non Prime,NetImpairment,-1713008.995458935,36096.69,1749105.6854589349,-102.10720959993145,1749105.6854589349
2026-02-28,Non Prime,Revenue,2584136.964865295,2885895.33,301758.36513470486,11.677336350104595,301758.36513470486
2026-02-28,Prime,ClosingGBV,2741116.251477426,1865957.27,-875158.9814774259,-31.92710199743358,875158.9814774259
2026-02-28,Prime,ClosingNBV,2101029.0746868774,1515345.17,-585683.9046868775,-27.876049491326704,585683.9046868775
2026-02-28,Prime,Collections,194373.92880907786,288483.63999999996,94109.7111909221,48.41683849656635,94109.7111909221
2026-02-28,Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-02-28,Prime,GrossImpairment,-371.7750784220197,9127.699999999999,9499.475078422018,-2555.16725831706,9499.475078422018
2026-02-28,Prime,NetImpairment,-371.7750784220197,9127.7,9499.47507842202,-2555.16725831706,9499.47507842202
2026-02-28,Prime,Revenue,22012.486868712254,20357.57,-1654.9168687122547,-7.518082252962033,1654.9168687122547
2026-02-28,Total,ClosingGBV,235102919.3115151,223647099.68,-11455819.631515086,-4.87268285100958,11455819.631515086
2026-02-28,Total,ClosingNBV,200781472.7319662,198443350.13,-2338122.6019662023,-1.1645111325024882,2338122.6019662023
2026-02-28,Total,Collections,13811430.425473716,17616255.39,3804824.9645262845,27.548377302822225,3804824.9645262845
2026-02-28,Total,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-02-28,Total,GrossImpairment,-2931294.252562808,-668706.29,2262587.962562808,-77.18733663754995,2262587.962562808
2026-02-28,Total,NetImpairment,-2931294.252562808,-668706.2899999999,2262587.962562808,-77.18733663754995,2262587.962562808
2026-02-28,Total,Revenue,4580220.043535713,5240084.0,659863.9564642869,14.406817798974192,659863.9564642869
2026-03-31,Near Prime Medium,ClosingGBV,100095439.43601142,91194973.76,-8900465.676011413,-8.891979221192459,8900465.676011413
2026-03-31,Near Prime Medium,ClosingNBV,87098771.0982149,85121498.00999999,-1977273.088214904,-2.2701503859167915,1977273.088214904
2026-03-31,Near Prime Medium,Collections,3766365.377811832,5241040.43,1474675.0521881678,39.15379694375054,1474675.0521881678
2026-03-31,Near Prime Medium,DebtSaleGain,0.0,30628.8,30628.8,,30628.8
2026-03-31,Near Prime Medium,GrossImpairment,-777000.2297307685,97395.26999999999,874395.4997307685,-112.53478007770315,874395.4997307685
2026-03-31,Near Prime Medium,NetImpairment,-777000.2297307685,128024.03999999998,905024.2697307684,-116.47670555314514,905024.2697307684
2026-03-31,Near Prime Medium,Revenue,1526723.2139127299,1605959.81,79236.59608727018,5.189977814262758,79236.59608727018
2026-03-31,Near Prime Small,ClosingGBV,33800001.20074325,31162155.08,-2637846.1207432523,-7.804278186490854,2637846.1207432523
2026-03-31,Near Prime Small,ClosingNBV,28799099.770466283,28962066.61,162966.83953371644,0.5658747698108257,162966.83953371644
2026-03-31,Near Prime Small,Collections,2161048.743788064,2670528.8899999997,509480.1462119357,23.57559715746518,509480.1462119357
2026-03-31,Near Prime Small,DebtSaleGain,0.0,11088.03,11088.03,,11088.03
2026-03-31,Near Prime Small,GrossImpairment,-299817.8499207186,-128714.45999999999,171103.3899207186,-57.06911378557473,171103.3899207186
2026-03-31,Near Prime Small,NetImpairment,-299817.8499207186,-117626.39,182191.45992071857,-60.76738258542507,182191.45992071857
2026-03-31,Near Prime Small,Revenue,603307.9166409238,653582.97,50275.05335907615,8.33323282727596,50275.05335907615
2026-03-31,Non Prime,ClosingGBV,90055478.15744105,83359839.64,-6695638.517441049,-7.435015231094866,6695638.517441049
2026-03-31,Non Prime,ClosingNBV,70940840.33592418,69563353.64,-1377486.6959241778,-1.9417400321188771,1377486.6959241778
2026-03-31,Non Prime,Collections,7035775.229963386,9326891.05,2291115.8200366143,32.563800649563056,2291115.8200366143
2026-03-31,Non Prime,DebtSaleGain,0.0,54300.89,54300.89,,54300.89
2026-03-31,Non Prime,GrossImpairment,-1568927.4868663894,-208314.12999999998,1360613.3568663895,-86.7225138354823,1360613.3568663895
2026-03-31,Non Prime,NetImpairment,-1568927.4868663894,-154013.23,1414914.2568663894,-90.18353421115658,1414914.2568663894
2026-03-31,Non Prime,Revenue,2747161.695300162,2772346.78,25185.084699837957,0.9167674674164461,25185.084699837957
2026-03-31,Prime,ClosingGBV,2564337.8615747904,1530356.81,-1033981.0515747904,-40.32156086249144,1033981.0515747904
2026-03-31,Prime,ClosingNBV,1956259.5514905904,1316319.37,-639940.1814905903,-32.71243741675187,639940.1814905903
2026-03-31,Prime,Collections,182291.79000725882,255311.99,73020.19999274117,40.05676832172942,73020.19999274117
2026-03-31,Prime,DebtSaleGain,0.0,2467.47,2467.47,,2467.47
2026-03-31,Prime,GrossImpairment,-297.7493834439,59096.14,59393.8893834439,-19947.611207945458,59393.8893834439
2026-03-31,Prime,NetImpairment,-297.7493834439,61563.61,61861.3593834439,-20776.318213636005,61861.3593834439
2026-03-31,Prime,Revenue,22915.794877049408,18410.32,-4505.474877049408,-19.661001947445968,4505.474877049408
2026-03-31,Total,ClosingGBV,226515256.6557705,207247325.29,-19267931.36577052,-8.506239999123544,19267931.36577052
2026-03-31,Total,ClosingNBV,188794970.75609595,184963237.63,-3831733.1260959506,-2.029573727917866,3831733.1260959506
2026-03-31,Total,Collections,13145481.141570542,17493772.36,4348291.218429457,33.078220352685776,4348291.218429457
2026-03-31,Total,DebtSaleGain,0.0,98485.19,98485.19,,98485.19
2026-03-31,Total,GrossImpairment,-2646043.3159013204,-180537.18,2465506.1359013203,-93.17708901758837,2465506.1359013203
2026-03-31,Total,NetImpairment,-2646043.3159013204,-82051.97000000004,2563991.34590132,-96.89906928178722,2563991.34590132
2026-03-31,Total,Revenue,4900108.620730865,5050299.88,150191.25926913507,3.065059795485392,150191.25926913507
2026-04-30,Near Prime Medium,ClosingGBV,96882607.89989169,87725918.11,-9156689.78989169,-9.451324637496594,9156689.78989169
2026-04-30,Near Prime Medium,ClosingNBV,84038540.82141288,81177476.7,-2861064.1214128733,-3.404466680939655,2861064.1214128733
2026-04-30,Near Prime Medium,Collections,3655517.444149149,4998730.4399999995,1343212.9958508504,36.74481154509972,1343212.9958508504
2026-04-30,Near Prime Medium,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-04-30,Near Prime Medium,GrossImpairment,-841067.3432215485,-475545.74,365521.6032215485,-43.45925521510412,365521.6032215485
2026-04-30,Near Prime Medium,NetImpairment,-841067.3432215485,-475545.74,365521.6032215485,-43.45925521510412,365521.6032215485
2026-04-30,Near Prime Medium,Revenue,1433609.1207626052,1530254.79,96645.66923739482,6.741423993311679,96645.66923739482
2026-04-30,Near Prime Small,ClosingGBV,32042329.576603536,29246383.74,-2795945.836603537,-8.725788273038248,2795945.836603537
2026-04-30,Near Prime Small,ClosingNBV,27172660.72285715,27030569.38,-142091.34285715222,-0.5229202407021849,142091.34285715222
2026-04-30,Near Prime Small,Collections,2038683.6205202276,2528805.4899999998,490121.86947977217,24.041095172712666,490121.86947977217
2026-04-30,Near Prime Small,DebtSaleGain,0.0,0.0,0.0,,0.0
2026-04-30,Near Prime Small,GrossImpairment,-181484.05955080973,-16615.65,164868.40955080974,-90.8445678143164,164868.40955080974
2026-04-30,Near Prime Small,NetImpairment,-181484.05955080973,-16615.65,164868.40955080974,-90.8445678143164,164868.40955080974
2026-04-30,Near Prime Small,Revenue,559788.1689079838,613923.9,54135.73109201621,9.670752991729415,54135.73109201621
2026-04-30,Non Prime,ClosingGBV,85986941.10034634,77500102.23,-8486838.870346338,-9.869916014854208,8486838.870346338
2026-04-30,Non Prime,ClosingNBV,68514374.46063723,63186845.34,-5327529.120637223,-7.775783056587615,5327529.120637223
2026-04-30,Non Prime,Collections,6650227.141581465,8430137.69,1779910.548418535,26.764657966182813,1779910.548418535
2026-04-30,Non Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
