Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
2025-12-31 00:00:00.000000000,Non Prime,GrossImpairment,-1903967.8301076586,272481.27,2176449.1001076587,-114.31123287333025
2025-12-31 00:00:00.000000000,Non Prime,NetImpairment,-1903967.8301076586,208300.96,2112268.7901076586,-110.94036131840642
2025-12-31 00:00:00.000000000,Non Prime,Revenue,3380984.730902706,2253322.82,-1127661.910902706,-33.35306133138395
2025-12-31 00:00:00.000000000,Prime,ClosingGBV,3090344.8140779724,2431413.7,-658931.1140779722,-21.32225216669128
2025-12-31 00:00:00.000000000,Prime,ClosingNBV,2386047.358279273,2031513.05,-354534.30827927287,-14.858645074628763
2025-12-31 00:00:00.000000000,Prime,Collections,221072.8869086584,388506.09,167433.20309134162,75.73665203029655
2025-12-31 00:00:00.000000000,Prime,DebtSaleGain,0.0,2692.5,2692.5,inf
2025-12-31 00:00:00.000000000,Prime,GrossImpairment,-551.4768704927753,80251.48999999999,80802.96687049276,-14652.104411612188
2025-12-31 00:00:00.000000000,Prime,NetImpairment,-551.4768704927753,77558.99,78110.46687049278,-14163.869973494397
2025-12-31 00:00:00.000000000,Prime,Revenue,27583.58773802927,24366.88,-3216.7077380292685,-11.661672762004127
2025-12-31 00:00:00.000000000,Total,ClosingGBV,251287914.95352745,244931165.85999998,-6356749.093527466,-2.529667650234224
2025-12-31 00:00:00.000000000,Total,ClosingNBV,217160515.28232723,222507517.67,5347002.387672752,2.462235080222208
2025-12-31 00:00:00.000000000,Total,Collections,15480945.511405122,13180721.129999999,-2300224.3814051226,-14.858423083464134
2025-12-31 00:00:00.000000000,Total,DebtSaleGain,0.0,111090.31,111090.31,inf
2025-12-31 00:00:00.000000000,Total,GrossImpairment,-3159895.942274313,2456587.82,5616483.762274313,-177.7426809261285
2025-12-31 00:00:00.000000000,Total,NetImpairment,-3159895.942274313,2345497.4499999997,5505393.392274313,-174.22704711952775
2025-12-31 00:00:00.000000000,Total,Revenue,5841095.129271127,4071179.52,-1769915.6092711273,-30.301092005874995
2026-01-31 00:00:00.000000000,Near Prime Medium,ClosingGBV,104541424.56072311,99585126.25,-4956298.310723111,-4.740989833981302
2026-01-31 00:00:00.000000000,Near Prime Medium,ClosingNBV,92843928.14899915,93112800.32,268872.1710008383,0.28959585872900817
2026-01-31 00:00:00.000000000,Near Prime Medium,Collections,4131703.1829122147,3919002.92,-212700.26291221473,-5.1480044305189825
2026-01-31 00:00:00.000000000,Near Prime Medium,DebtSaleGain,0.0,-0.0,-0.0,
2026-01-31 00:00:00.000000000,Near Prime Medium,GrossImpairment,-1062926.4896153847,534424.03,1597350.5196153848,-150.27855032509154
2026-01-31 00:00:00.000000000,Near Prime Medium,NetImpairment,-1062926.4896153847,534424.03,1597350.5196153848,-150.27855032509154
2026-01-31 00:00:00.000000000,Near Prime Medium,Revenue,1652933.0787914488,1278201.83,-374731.2487914488,-22.670684832893272
2026-01-31 00:00:00.000000000,Near Prime Small,ClosingGBV,37030256.999029145,35632552.75,-1397704.2490291446,-3.77449243483724
2026-01-31 00:00:00.000000000,Near Prime Small,ClosingNBV,32167203.230153468,33263031.41,1095828.1798465326,3.406662904468183
2026-01-31 00:00:00.000000000,Near Prime Small,Collections,2485493.124759659,2251873.94,-233619.18475965923,-9.399309232941434
2026-01-31 00:00:00.000000000,Near Prime Small,DebtSaleGain,0.0,-0.0,-0.0,
2026-01-31 00:00:00.000000000,Near Prime Small,GrossImpairment,-335415.53019349754,92144.77,427560.30019349756,-127.47182575202845
2026-01-31 00:00:00.000000000,Near Prime Small,NetImpairment,-335415.53019349754,92144.77,427560.30019349756,-127.47182575202845
2026-01-31 00:00:00.000000000,Near Prime Small,Revenue,682945.680840938,549312.09,-133633.59084093804,-19.567235666003434
2026-01-31 00:00:00.000000000,Non Prime,ClosingGBV,99414297.28841718,98690698.95,-723598.3384171724,-0.7278614426231789
2026-01-31 00:00:00.000000000,Non Prime,ClosingNBV,80956063.14712112,83348653.99,2392590.842878878,2.9554189641495254
2026-01-31 00:00:00.000000000,Non Prime,Collections,7839295.719058653,6588516.1899999995,-1250779.5290586539,-15.955253812122393
2026-01-31 00:00:00.000000000,Non Prime,DebtSaleGain,0.0,-0.0,-0.0,
2026-01-31 00:00:00.000000000,Non Prime,GrossImpairment,-2202442.9810385304,1543161.07,3745604.0510385307,-170.0658806282624
2026-01-31 00:00:00.000000000,Non Prime,NetImpairment,-2202442.9810385304,1543161.07,3745604.0510385307,-170.0658806282624
2026-01-31 00:00:00.000000000,Non Prime,Revenue,3178262.5780523345,2364974.81,-813287.7680523344,-25.589067865837688
2026-01-31 00:00:00.000000000,Prime,ClosingGBV,2913688.4010498975,2134083.32,-779605.0810498977,-26.756638793941747
2026-01-31 00:00:00.000000000,Prime,ClosingNBV,2241828.264505515,1774343.52,-467484.74450551486,-20.85283480037794
2026-01-31 00:00:00.000000000,Prime,Collections,207280.88171066728,319609.09,112328.20828933275,54.191301852008664
2026-01-31 00:00:00.000000000,Prime,DebtSaleGain,0.0,-0.0,-0.0,
2026-01-31 00:00:00.000000000,Prime,GrossImpairment,-489.6386490896847,-40160.84,-39671.20135091031,8102.1384698012125
2026-01-31 00:00:00.000000000,Prime,NetImpairment,-489.6386490896847,-40160.84,-39671.20135091031,8102.1384698012125
2026-01-31 00:00:00.000000000,Prime,Revenue,25924.530376671275,22278.71,-3645.820376671276,-14.063207023229406
2026-01-31 00:00:00.000000000,Total,ClosingGBV,243899667.24921936,236042461.27,-7857205.979219347,-3.221491061400572
2026-01-31 00:00:00.000000000,Total,ClosingNBV,208209022.79077923,211498829.23999998,3289806.4492207468,1.5800498965534926
2026-01-31 00:00:00.000000000,Total,Collections,14663772.908441193,13079002.139999999,-1584770.7684411947,-10.807387555278646
2026-01-31 00:00:00.000000000,Total,DebtSaleGain,0.0,0.0,0.0,
2026-01-31 00:00:00.000000000,Total,GrossImpairment,-3601274.639496502,2129569.0300000003,5730843.669496503,-159.13375799346804
2026-01-31 00:00:00.000000000,Total,NetImpairment,-3601274.639496502,2129569.0300000003,5730843.669496503,-159.13375799346804
2026-01-31 00:00:00.000000000,Total,Revenue,5540065.868061392,4214767.44,-1325298.4280613912,-23.92206987468809
2026-02-28 00:00:00.000000000,Near Prime Medium,ClosingGBV,102156203.19149563,96055969.41999999,-6100233.77149564,-5.971476602414949
2026-02-28 00:00:00.000000000,Near Prime Medium,ClosingNBV,90903857.17097346,88922591.02,-1981266.150973469,-2.1795182433756
2026-02-28 00:00:00.000000000,Near Prime Medium,Collections,3880683.254208105,5180269.74,1299586.485791895,33.48859983310051
2026-02-28 00:00:00.000000000,Near Prime Medium,DebtSaleGain,0.0,-0.0,-0.0,
2026-02-28 00:00:00.000000000,Near Prime Medium,GrossImpairment,-936194.7289666305,661955.58,1598150.3089666306,-170.70703984102374
2026-02-28 00:00:00.000000000,Near Prime Medium,NetImpairment,-936194.7289666305,661955.58,1598150.3089666306,-170.70703984102374
2026-02-28 00:00:00.000000000,Near Prime Medium,Revenue,1402216.900060412,1652015.98,249799.07993958797,17.814582032838565
2026-02-28 00:00:00.000000000,Near Prime Small,ClosingGBV,35366772.32232688,33623577.49,-1743194.8323268816,-4.928905630515823
2026-02-28 00:00:00.000000000,Near Prime Small,ClosingNBV,30781575.077739533,31203084.22,421509.1422604658,1.3693553406410652
2026-02-28 00:00:00.000000000,Near Prime Small,Collections,2290865.8415494575,2689787.18,398921.33845054265,17.413561772815413
2026-02-28 00:00:00.000000000,Near Prime Small,DebtSaleGain,0.0,-0.0,-0.0,
